0a	0:AH;1:EY
6ed	010:AO R D IH D
6ing	010:AO R D IH NG
9ly	0100:AO R D IH NG L IY
7on	0100:AO R D IY AH N
9s	0100:AO R D IY AH N Z
6s	01:AO R D Z
4st	01:AO S T
6ed	010:AA S T IH D
6ing	010:AA S T IH NG
4unt	01:AW N T
7's	01:AW N T S
7ability	010200:IH L IH T IY;010000:AW N AH B IH L IH T IY
9le	0100:AW N T AH B AH L;0100:AW N AH B AH L
8ncy	0100:AW N T AH N S IY
9t	010:AW N T AH N T
a's	010:AW N T AH N T S
as	010:AW N T AH N T S
b'	010:AW N T AH N T S
7ed	010:AW N T IH D;010:AW N AH D
8mp	012:EH M P
as	012:EH M P S
7ing	010:AW N T IH NG;010:AW N IH NG
7s	01:AW N T S
5terment	0100:UW T ER M AH N T
cs	0100:UW T ER M AH N T S
6rement	0100:UW T ER M AH N T
cs	0100:UW T ER M AH N T S
3ra	12:AA
4edit	020:EH D AH T
8ation	02010:EY SH AH N
ds	02010:EY SH AH N Z
8ed	0100:EH D IH T IH D
8ing	0100:EH D AH T IH NG
5ted	010:IY T IH D
6ion	010:IY SH AH N
4ual	010:UW AH L
7s	010:UW AH L Z
5e	01:UW
6d	01:UW D
6s	01:UW Z
5ing	010:UW IH NG
3u	10:AE K Y UW
4health	102:EH L TH
4mulate	0102:EY T
ad	01020:EY T IH D
as	0102:EY T S
9ing	01020:EY T IH NG
aon	02010:EY SH AH N
cs	02010:EY SH AH N Z
ave	01020:EY T IH V
cly	010200:EY T IH V L IY;010020:IH V L IY
9or	01020:EY T ER
bs	01020:EY T ER Z
4racies	1000:AE K Y ER AH S IY Z
7y	1000:AE K Y ER AH S IY
6te	100:AE K Y ER AH T
8ly	1000:AE K Y ER AH T L IY
6y	102:EY
7's	102:EY Z
5ide	102:AY D
5sed	21:ER S T
6o	010:UH R S OW
4sation	2010:EY SH AH N
as	2010:EY SH AH N Z
8ve	0100:UW Z AH T IH V
7ory	01020:AO R IY
5e	01:UW Z
6d	01:UW Z D
6r	010:UW Z ER
7s	010:UW Z ER Z
6s	010:UW Z IH Z
5ing	010:UW Z IH NG
8ly	0100:UW Z IH NG L IY
5tom	010:AH S T AH M
8ed	010:AH S T AH M D
4tane	102:EY N
2e	1:EY S
3comm	10:EY S K AA M
3d	1:EY S T
3r	10:EY S ER
4bic	010:EH R B IH K
4o	010:EH R OW
4ra	010:EH R AH
3s	10:EY S IH Z
3taminophen	020100:IH N AH F AH N
5te	102:EY T
4ic	010:EH T IH K;010:IY T IH K
4o	010:EH T OW
5chlor	0102:AO R
5ne	102:OW N
5syringone	020100:IH R IH NG G AO N
4ylcholine	02010:OW L IY N
6ene	0102:IY N
3vedo	0010:EY D OW
5s	010:EY V EH S
3y	10:EY S IY
2h	111:EY CH
3aean	010:IY AH N
4tz	10:AE K AH T S
3e	1:EY K
4be	010:EY B IY
4d	1:EY K T
4e	01:IY
4nbach	100:AE K IH N B AA K
7um	102:AW M
5e	01:IY N
6s	01:IY N Z
4s	1:EY K S
5on	100:AE CH AH S AH N
7's	100:AE CH AH S AH N Z
7s	100:AE CH AH S AH N Z
4y	10:AE CH IY
3ieva	010:IY V AH
7ble	0100:IY V AH B AH L
6e	01:IY V
7d	01:IY V D
7ment	010:IY V M AH N T
bs	010:IY V M AH N T S
7r	010:IY V ER
8s	010:IY V ER Z
7s	01:IY V Z
6ing	010:IY V IH NG
4ll	10:AE K IH L
6's	10:AE K IH L Z
6e	010:IH L IY
7s	010:IH L IY Z
8'	010:IH L IY Z
4ng	10:EY K IH NG
6ly	100:EY K IH NG L IY
3med	10:AA HH M EH D
3oa	010:OW AH
5's	010:OW AH Z
4o	21:UW
4r	10:EY K ER
5d	10:AE K AO R D
5n	10:AE K ER N
3tenberg	100:AE K T EH N B ER G
5rberg	100:AE K T ER B ER G
3y	10:EY K IY
2id	10:AE S AH D
4ic	010:IH D IH K
5fication	020010:EY SH AH N
7ed	0102:AY D
8s	0102:AY Z
6y	0102:AY
5ty	0100:IH D AH T IY
4ly	100:AE S AH D L IY
4osis	2010:OW S AH S
4s	10:AE S AH D Z
4uria	20100:UH R IY AH
3erno	010:IH R N OW
2k	1:AE K
3er	10:AE K ER
5's	10:AE K ER Z
5ley	100:AE K ER L IY
6y	100:AE K ER L IY
5man	100:AE K ER M AH N
8n	100:AE K ER M AH N
8ville	1000:AE K ER M AH N V IH L
5son	100:AE K ER S AH N
5t	10:AE K ER T
3house	12:AW S
3land	10:AE K L AH N D
4es	10:AE K AH L Z
5y	10:AE K L IY
4in	10:AE K L IH N
3man	10:AE K M AH N
3nowledge	010:AA L IH JH
bable	01000:AA L IH JH AH B AH L
bd	010:AA L IH JH D
bment	0100:AA L IH JH M AH N T
fs	0100:AA L IH JH M AH N T S
bs	0100:AA L IH JH IH Z
aing	0100:AA L IH JH IH NG
ament	0100:AA L IH JH M AH N T
es	0100:AA L IH JH M AH N T S
3royd	12:OY D
7's	12:OY D Z
2m	221:EH M
3at	10:AE K M AE T
5's	10:AE K M AE T S
3e	10:AE K M IY
4's	10:AE K M IY Z
2ne	10:AE K N IY
2ocella	0010:EH L AH
3ff	10:AE K AO F
3g	01:AO G
3lyte	102:AY T
7s	102:AY T S
3mb	10:EY K AH M;10:AE K AH M
3rd	01:AO R D
5ia	0100:AO R D IY AH
4n	10:EY K AO R N
5's	10:EY K AO R N Z
5s	10:EY K AO R N Z
3sta	010:AO S T AH
3tt	10:EY K AO T
3ustic	010:UW S T IH K
8al	0100:UW S T IH K AH L
aly	0100:UW S T IH K L IY
8s	010:UW S T IH K S
2quaint	01:EY N T
8ance	010:EY N T AH N S
cs	0100:EY N T AH N S IH Z
dhip	0100:EY N T AH N S SH IH P
8ed	010:EY N T IH D;010:EY N IH D
5viva	0010:IY V AH
4iesce	201:EH S
9d	201:EH S T
9nce	2010:EH S AH N S
at	2010:EH S AH N T
8ing	2010:EH S IH NG
5re	010:AY ER
7d	010:AY ER D
7r	0100:AY ER ER
8's	0100:AY ER ER Z
8s	0100:AY ER ER Z
7s	010:AY ER Z
6ing	010:AY R IH NG;0100:AY ER IH NG
5sition	2010:IH SH AH N
b's	2010:IH SH AH N Z
bs	2010:IH SH AH N Z
9ve	0100:IH Z AH T IH V
5t	01:IH T
6aine	102:EY N
6s	01:IH T S
6tal	010:IH T AH L
9s	010:IH T AH L Z
7ed	010:IH T IH D
7ing	010:IH T IH NG
2re	10:EY K ER
4age	100:EY K ER IH JH;10:EY K R AH JH
4e	01:IY
4s	10:EY K ER Z
4y	10:AE K R IY
3i	10:AA K R IY
4d	10:AE K R IH D
4monious	20100:OW N IY AH S
7y	1020:OW N IY
3o	10:AE K R OW
4bat	102:AE T
7ic	2010:AE T IH K
9s	2010:AE T IH K S
7s	102:AE T S
4lein	102:IY N
4nym	100:AE K R AH N IH M
7s	100:AE K R AH N IH M Z
4polis	0100:AA P AH L AH S
4ss	01:AO S
3ylic	010:IH L IH K
7s	010:IH L IH K S
2t	1:AE K T
3's	1:AE K T S
3a	10:AE K T AA
4va	210:AA V AH
6's	210:AA V AH Z
6s	210:AA V AH Z
3ed	10:AE K T IH D
4l	10:AE K T EH L
3igall	100:AE K T IH G AO L
4n	10:AE K T AH N
5g	10:AE K T IH NG
5ide	102:AY D
7ia	20100:IH D IY AH
5omycosis	220210:OW S IH S
4on	10:AE K SH AH N
6's	10:AE K SH AH N Z
6able	1000:AE K SH AH N AH B AH L
6s	10:AE K SH AH N Z
4vase	102:EY Z
6te	102:EY T
8d	1020:EY T IH D
8s	102:EY T S
7ing	1020:EY T IH NG
8on	2010:EY SH AH N
7or	1020:EY T ER
5e	10:AE K T IH V
6's	10:AE K T IH V Z
6ly	100:AE K T IH V L IY
6s	10:AE K T IH V Z
5ision	1020:IH ZH AH N
7m	1020:IH Z AH M
7t	100:AE K T AH V AH S T;100:AE K T IH V IH S T
8s	100:AE K T AH V AH S T S;100:AE K T IH V IH S T S
9'	100:AE K T IH V IH S T S
6ties	0100:IH V AH T IY Z;0100:IH V IH T IY Z
7y	0100:IH V AH T IY;0100:IH V IH T IY
3media	0100:IY D IY AH
3odine	102:AY N
4n	10:AE K T AH N
4r	10:AE K T ER
5's	10:AE K T ER Z
5s	10:AE K T ER Z
6'	10:AE K T ER Z
3ress	10:AE K T R AH S
7's	100:AE K T R AH S IH Z
7es	100:AE K T R AH S IH Z
3s	1:AE K T S;1:AE K S
3ual	100:AE K CH AH W AH L;10:AE K SH AH L
6ity	20102:IY
7ze	1202:AY Z
6ly	1200:UW AH L IY;10:AE K CH L IY;100:AE K SH AH L IY
5rial	22100:EH R IY AH L
7es	1212:IY Z
6y	1012:IY
5te	121:EY T
6or	1020:EY T ER
8s	1020:EY T ER Z
4s	10:AE K T AH S
2uff	01:AH F
3ity	0100:UW AH T IY
3men	010:UW M AH N
3na	010:UW N AH
3puncture	1020:AH NG K CH ER
3ra	100:AE K Y ER AH
5's	100:AE K Y ER AH Z
5s	100:AE K Y ER AH Z
3son	210:UW S AH N
4tar	102:AA R
4yst	100:AE K Y UW S IH S T
3te	01:UW T
5ly	010:UW T L IY
5ness	010:UW T N AH S
2yclovir	0102:IH R
1d	1:AE D
2's	1:AE D Z
2-hoc	11:AA K
3lib	11:IH B
3nauseam	1100:AO Z IY AA M
8um	1100:AO Z IY AH M
2a	10:EY D AH
3's	10:EY D AH Z
3bel	100:AE D AH B EH L
6le	100:AE D AH B AH L
3chi	010:AA K IY
3ge	10:AE D AH JH;10:AE D IH JH
4io	0102:OW
3h	10:AE D AA
3ir	01:EH R
5e	01:EH R
3k	01:AE K
3lah	010:AA L AH
4ia	0100:AA L IY AH
3m	10:AE D AH M
4's	10:AE D AH M Z
4ant	100:AE D AH M AH N T
7ly	1000:AE D AH M AH N T L IY
4cik	100:AA D AH M CH IH K
5zak	100:AA D AH M CH AE K
6yk	100:AA D AH M CH IH K
4e	010:AA M IY
5c	010:AA M IH K
5k	010:AA M EH K
5s	01:EY M Z
4i	010:AA M IY
5k	010:AA M IH K
5na	0010:IY N AH
4kus	100:AE D AH M K AH S
4o	010:AA M OW
5wicz	0100:AA M AH V IH CH
4s	10:AE D AH M Z
5'	10:AE D AH M Z
6s	100:AE D AH M Z IH Z
5ki	012:IY
5on	100:AE D AH M S AH N
5town	102:AW N
3n	10:EY D AH N
3pso	010:AE P S OW
4t	01:AE P T
5ability	020100:IH L AH T IY
7le	0100:AE P T AH B AH L
6plex	0102:EH K S
6tion	2010:EY SH AH N
as	2010:EY SH AH N Z
5ec	012:EH K
7's	012:EH K S
6d	010:AE P T IH D
6r	010:AE P T ER
7s	010:AE P T ER Z
5ing	010:AE P T IH NG
6ve	010:AE P T IH V
5or	010:AE P T ER
7s	010:AE P T ER Z
5s	01:AE P T S
3r	01:AA R
4and	102:AE N D
4e	01:EH R
3s	10:EY D AH Z
3y	01:EY
3za	010:AA Z AH
2block	12:AA K
2cock	01:AA K
4x	01:AA K S
2d	1:AE D
3air	01:EH R
4ms	10:AE D AH M Z
3ed	10:AE D AH D;10:AE D IH D
4ndum	010:EH N D AH M
8s	010:EH N D AH M Z
4o	100:AA D IY OW
4r	10:AE D ER
5ley	010:ER L IY
3icks	10:AE D IH K S
5t	01:IH K T;12:IH K T
6ed	010:IH K T IH D
6ing	010:IH K T IH NG
7on	010:IH K SH AH N
9s	010:IH K SH AH N Z
7ve	010:IH K T IH V
6s	01:IH K T S;12:IH K T S
4das	010:IY D AH S
7'	010:IY D AH S
8s	0100:IY D AH S IH Z
7es	0100:IY D AH S IH Z
4e	10:AE D IY
4ng	10:AE D IH NG
6ton	100:AE D IH NG T AH N
4s	10:AA D IH S
5-ababa	10010:AA B AA
5on	100:AE D AH S AH N;100:AE D IH S AH N
7's	100:AE D IH S AH N Z
4tion	010:IH SH AH N
8al	0100:IH SH AH N AH L;010:IH SH N AH L
aly	01020:AH L IY;0100:IH SH N AH L IY
8s	010:IH SH AH N Z
6ve	100:AE D AH T IH V;100:AE D IH T IH V
8s	100:AE D AH T IH V Z;100:AE D IH T IH V Z
3le	10:AE D AH L
5d	10:AE D AH L D
5man	100:AE D AH L M AH N
3ress	12:EH S;01:EH S
7able	0100:EH S AH B AH L
7ed	01:EH S T
8e	201:IY
8s	110:EH S IH Z;010:EH S IH Z
7ing	010:EH S IH NG
3s	1:AE D Z
3uci	010:UW CH IY
5t	10:AE D AH K T
3west	21:EH S T
3y	10:AE D IY
4ston	100:AE D IY S T AH N
2e	1:EY D
3e	01:IY
3l	01:EH L
4a	010:EH L AH
5ar	102:AA R
5ide	102:EY D
5nto	0010:AA N T OW
4bert	010:EH L B ER T
4e	01:EH L
5's	01:EH L Z
4ine	102:AY N
5zzi	2010:IY Z IY
4l	01:EH L
5's	01:EH L Z
5e	01:EH L
4man	100:AE D AH L M AH N;100:EH D AH L M AH N
7n	100:AE D AH L M AH N
4pha	010:EH L F AH
6i	010:EH L F IY
7a	0100:EH L F IY AH
8's	0100:EH L F IY AH Z
